@relation bookkeeper\Release_1\test
@attribute LOC numeric
@attribute LOC_ADDED numeric
@attribute LOC_DELETED numeric
@attribute N_AUTH numeric
@attribute NR numeric
@attribute MAX_LOC_ADDED numeric
@attribute AVG_LOC_ADDED numeric
@attribute CHURN numeric
@attribute MAX_CHURN numeric
@attribute AVG_CHURN numeric
@attribute FAN_OUT numeric
@attribute METHOD_COMPLEXITY numeric
@attribute IS_BUGGY {'Yes', 'No'}
@data
90,25,22,1,1,25,25.0,3,3,3.0,2,9,No
85,0,0,0,0,0,0.0,0,0,0.0,0,0,No
85,4,0,1,1,4,4.0,4,4,4.0,2,8,Yes
80,5,0,1,1,5,5.0,5,5,5.0,0,5,No
103,5,1,1,1,5,5.0,4,4,4.0,2,7,Yes
160,1,0,1,1,1,1.0,1,1,1.0,2,13,Yes
271,284,13,1,2,260,142.0,271,260,135.5,15,10,No
86,18,2,1,1,18,18.0,16,16,16.0,2,9,No
507,29,36,2,4,15,7.25,25,16,6.25,25,34,Yes
27,80,53,1,2,79,40.0,131,79,65.5,0,1,No
111,0,0,0,0,0,0.0,0,0,0.0,3,16,No
64,0,0,0,0,0,0.0,0,0,0.0,0,6,No
37,37,0,1,1,37,37.0,37,37,37.0,0,3,No
43,0,0,0,0,0,0.0,0,0,0.0,2,7,No
664,666,1,1,2,665,333.0,665,665,332.5,43,34,No
74,0,0,0,0,0,0.0,0,0,0.0,0,7,No
48,48,0,1,1,48,48.0,48,48,48.0,1,2,No
256,43,21,2,3,33,14.333333333333334,22,19,7.333333333333333,24,14,Yes
905,221,78,3,9,95,24.555555555555557,143,65,15.88888888888889,69,40,Yes
45,45,0,1,1,45,45.0,45,45,45.0,0,5,No
576,589,13,2,3,550,196.33333333333334,576,550,192.0,24,22,Yes
63,0,0,0,0,0,0.0,0,0,0.0,0,3,Yes
184,8,9,2,3,4,2.6666666666666665,3,2,1.0,9,6,No
113,10,2,2,2,10,5.0,10,9,5.0,2,8,Yes
172,20,2,2,3,10,6.666666666666667,18,8,6.0,1,20,No
108,4,0,1,1,4,4.0,4,4,4.0,2,8,No
98,1,1,1,1,1,1.0,0,0,0.0,14,2,Yes
49,0,0,0,0,0,0.0,0,0,0.0,3,4,No
148,0,0,0,0,0,0.0,0,0,0.0,6,31,Yes
36,2,2,1,1,2,2.0,0,0,0.0,0,3,No
79,0,0,0,0,0,0.0,0,0,0.0,3,5,Yes
172,21,9,1,2,11,10.5,12,10,6.0,26,11,No
400,407,7,2,3,397,135.66666666666666,400,397,133.33333333333334,33,19,Yes
92,0,0,0,0,0,0.0,0,0,0.0,8,5,Yes
46,128,633,2,8,92,16.0,579,531,72.375,0,0,Yes
153,30,73,3,6,19,5.0,49,46,8.166666666666666,3,7,Yes
209,5,0,1,1,5,5.0,5,5,5.0,11,15,No
27,0,0,0,0,0,0.0,0,0,0.0,0,4,No
451,534,83,3,5,425,106.8,459,425,91.8,34,16,No
105,0,0,0,0,0,0.0,0,0,0.0,4,5,Yes
276,61,1,2,3,30,20.333333333333332,60,30,20.0,2,19,Yes
187,211,24,2,4,183,52.75,191,183,47.75,6,15,Yes
81,0,0,0,0,0,0.0,0,0,0.0,0,2,No
788,842,54,3,7,712,120.28571428571429,788,712,112.57142857142857,29,41,Yes
60,60,0,1,1,60,60.0,60,60,60.0,0,8,No
48,0,0,0,0,0,0.0,0,0,0.0,2,4,No
162,0,0,0,0,0,0.0,0,0,0.0,12,30,Yes
150,63,5,2,2,58,31.5,58,53,29.0,5,23,No
169,5,1,2,2,4,2.5,4,4,2.0,1,1,Yes
236,236,0,1,1,236,236.0,236,236,236.0,8,30,Yes
150,26,33,1,2,25,13.0,7,7,3.5,3,2,Yes
129,7,1,1,1,7,7.0,6,6,6.0,2,10,No
481,62,8,1,2,50,31.0,54,42,27.0,25,22,No
529,9,13,1,4,5,2.25,4,3,1.0,12,33,Yes
66,74,8,1,2,69,37.0,72,69,36.0,2,2,No
72,8,0,1,1,8,8.0,8,8,8.0,1,5,No
132,4,2,1,1,4,4.0,2,2,2.0,6,5,No
32,1,1,1,1,1,1.0,0,0,0.0,1,3,No
196,202,6,1,2,195,101.0,196,195,98.0,15,10,Yes
74,0,0,0,0,0,0.0,0,0,0.0,1,5,No
32,32,0,1,1,32,32.0,32,32,32.0,0,0,No
137,0,0,0,0,0,0.0,0,0,0.0,5,4,No
132,0,0,0,0,0,0.0,0,0,0.0,2,10,No
84,26,9,1,1,26,26.0,17,17,17.0,2,4,No
148,0,0,0,0,0,0.0,0,0,0.0,5,11,No
78,0,0,0,0,0,0.0,0,0,0.0,1,3,Yes
174,0,0,0,0,0,0.0,0,0,0.0,3,10,No
1041,1057,16,1,2,1029,528.5,1041,1029,520.5,56,41,Yes
43,1,1,1,1,1,1.0,0,0,0.0,1,3,No
368,305,181,2,2,294,152.5,124,123,62.0,26,8,Yes
76,0,0,0,0,0,0.0,0,0,0.0,7,6,No
77,77,0,1,1,77,77.0,77,77,77.0,0,10,Yes
242,12,1,1,1,12,12.0,11,11,11.0,13,8,Yes
55,9,4,1,1,9,9.0,5,5,5.0,3,2,No
29,0,0,0,0,0,0.0,0,0,0.0,0,2,No
37,0,0,0,0,0,0.0,0,0,0.0,0,2,No
180,0,0,0,0,0,0.0,0,0,0.0,2,12,No
98,0,0,0,0,0,0.0,0,0,0.0,0,19,No
215,227,12,1,3,177,75.66666666666667,215,177,71.66666666666667,20,8,No
45,0,0,0,0,0,0.0,0,0,0.0,1,3,Yes
158,161,3,1,3,157,53.666666666666664,158,157,52.666666666666664,8,4,Yes
27,27,0,1,1,27,27.0,27,27,27.0,0,1,No
227,0,0,0,0,0,0.0,0,0,0.0,18,10,No
98,0,0,0,0,0,0.0,0,0,0.0,4,5,Yes
96,0,0,0,0,0,0.0,0,0,0.0,3,10,Yes
60,0,0,0,0,0,0.0,0,0,0.0,2,5,No
74,0,0,0,0,0,0.0,0,0,0.0,2,10,No
84,0,0,0,0,0,0.0,0,0,0.0,3,5,No
163,9,3,2,2,6,4.5,6,4,3.0,6,27,No
41,0,0,0,0,0,0.0,0,0,0.0,1,4,No
39,0,0,0,0,0,0.0,0,0,0.0,0,3,No
53,0,0,0,0,0,0.0,0,0,0.0,1,2,No
201,4,0,1,1,4,4.0,4,4,4.0,9,22,No
72,0,0,0,0,0,0.0,0,0,0.0,0,7,No
94,3,0,1,1,3,3.0,3,3,3.0,2,10,No
22,0,0,0,0,0,0.0,0,0,0.0,1,2,No
31,33,2,2,2,33,16.5,35,33,17.5,0,2,No
98,0,0,0,0,0,0.0,0,0,0.0,4,5,No
36,36,0,1,1,36,36.0,36,36,36.0,0,4,No
906,207,38,1,3,165,69.0,169,131,56.333333333333336,71,60,Yes
574,11,3,1,2,8,5.5,8,5,4.0,32,38,Yes
436,79,28,1,3,53,26.333333333333332,67,53,22.333333333333332,48,13,Yes
191,193,2,1,2,190,96.5,191,190,95.5,9,25,Yes
64,64,0,1,1,64,64.0,64,64,64.0,0,8,Yes
255,130,79,1,4,79,32.5,51,20,12.75,16,21,Yes
507,153,39,2,9,61,17.0,114,59,12.666666666666666,32,21,Yes
299,12,2,1,2,8,6.0,10,8,5.0,9,35,Yes
103,0,0,0,0,0,0.0,0,0,0.0,0,16,No
227,49,3,2,3,26,16.333333333333332,46,26,15.333333333333334,18,16,Yes
42,0,0,0,0,0,0.0,0,0,0.0,1,7,No
67,3,0,1,1,3,3.0,3,3,3.0,2,5,No
57,5,0,1,1,5,5.0,5,5,5.0,0,3,No
58,0,0,0,0,0,0.0,0,0,0.0,1,6,No
58,0,0,0,0,0,0.0,0,0,0.0,7,4,No
41,0,0,0,0,0,0.0,0,0,0.0,1,2,No
355,357,2,1,2,357,178.5,359,357,179.5,7,5,Yes
69,0,0,0,0,0,0.0,0,0,0.0,3,4,Yes
81,10,1,1,1,10,10.0,9,9,9.0,1,5,Yes
32,1,1,1,1,1,1.0,0,0,0.0,0,2,No
216,19,8,1,3,9,6.333333333333333,11,7,3.6666666666666665,20,14,Yes
282,11,0,1,1,11,11.0,11,11,11.0,19,45,No
101,0,0,0,0,0,0.0,0,0,0.0,9,5,Yes
54,0,0,0,0,0,0.0,0,0,0.0,6,2,No
88,0,0,0,0,0,0.0,0,0,0.0,0,10,No
446,18,1,1,2,17,9.0,17,17,8.5,37,23,No
94,0,0,0,0,0,0.0,0,0,0.0,3,8,No
342,42,36,1,1,42,42.0,6,6,6.0,11,16,Yes
168,14,0,1,1,14,14.0,14,14,14.0,8,10,Yes
165,59,22,1,1,59,59.0,37,37,37.0,12,10,No
162,13,0,1,1,13,13.0,13,13,13.0,2,14,No
31,0,0,0,0,0,0.0,0,0,0.0,0,2,No
94,0,0,0,0,0,0.0,0,0,0.0,4,4,Yes
63,9,0,1,1,9,9.0,9,9,9.0,2,4,No
366,1,1,1,1,1,1.0,0,0,0.0,15,21,Yes
682,120,24,1,4,38,30.0,96,37,24.0,49,33,Yes
40,40,0,1,1,40,40.0,40,40,40.0,0,7,No
57,0,0,0,0,0,0.0,0,0,0.0,1,3,No
318,86,5,2,3,47,28.666666666666668,81,47,27.0,3,14,Yes
71,0,0,0,0,0,0.0,0,0,0.0,2,5,No
124,0,0,0,0,0,0.0,0,0,0.0,9,9,No
355,253,81,1,3,241,84.33333333333333,186,174,62.0,23,29,No
136,3,0,1,1,3,3.0,3,3,3.0,8,6,Yes
37,0,0,0,0,0,0.0,0,0,0.0,0,4,No
283,36,6,3,4,23,9.0,30,23,7.5,8,8,Yes
27,0,0,0,0,0,0.0,0,0,0.0,0,2,No
85,24,3,1,1,24,24.0,21,21,21.0,2,7,Yes
77,0,0,0,0,0,0.0,0,0,0.0,0,8,No
6523,6504,6348,1,1,6504,6504.0,156,156,156.0,518,1132,Yes
744,43,3,1,3,29,14.333333333333334,40,28,13.333333333333334,39,38,Yes
473,375,373,3,12,253,31.25,282,129,23.5,49,17,Yes
47,0,0,0,0,0,0.0,0,0,0.0,0,3,No
147,5,2,1,1,5,5.0,3,3,3.0,4,12,No
39,0,0,0,0,0,0.0,0,0,0.0,0,3,No
52,55,3,1,2,53,27.5,54,53,27.0,3,1,Yes
92,92,0,1,1,92,92.0,92,92,92.0,6,6,Yes
83,0,0,0,0,0,0.0,0,0,0.0,2,6,Yes
55,55,0,1,1,55,55.0,55,55,55.0,0,2,No
62,74,161,1,5,36,14.8,159,88,31.8,3,1,Yes
153,0,0,0,0,0,0.0,0,0,0.0,9,8,No
38,0,0,0,0,0,0.0,0,0,0.0,0,2,Yes
51,52,1,1,2,51,26.0,51,51,25.5,0,5,No
58,58,0,1,1,58,58.0,58,58,58.0,0,7,Yes
139,12,10,1,1,12,12.0,2,2,2.0,0,10,No
37,0,0,0,0,0,0.0,0,0,0.0,0,4,No
58,0,0,0,0,0,0.0,0,0,0.0,0,6,No
91,91,0,1,1,91,91.0,91,91,91.0,0,0,Yes
28,0,0,0,0,0,0.0,0,0,0.0,0,3,No
39,0,0,0,0,0,0.0,0,0,0.0,0,4,No
127,59,35,2,5,37,11.8,24,14,4.8,1,5,Yes
63,0,0,0,0,0,0.0,0,0,0.0,0,4,No
189,17,1,2,3,15,5.666666666666667,16,15,5.333333333333333,2,6,Yes
549,182,10,2,6,110,30.333333333333332,182,110,30.333333333333332,8,44,Yes
